"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 3, 11:00 am",121.359,0.443214,53.788,33.7379,573.308,290.585,290.505,573.308,0.963853
"Jan 3, 12:00 pm",121.359,0.441553,53.5864,33.8272,573.307,290.741,290.25,573.307,0.964318
"Jan 3, 01:00 pm",121.359,0.441175,53.5407,33.8473,573.259,290.779,290.202,573.259,0.963489
"Jan 3, 02:00 pm",126.392,0.438766,55.4565,35.259,573.171,291.468,290.453,573.171,0.956934
"Jan 3, 03:00 pm",126.572,0.439822,55.6692,35.2451,573.468,291.366,291.346,573.468,0.907197
"Jan 3, 04:00 pm",126.769,0.44485,56.3932,35.7761,573.455,290.915,290.861,573.455,0.899832
"Jan 3, 05:00 pm",126.736,0.444026,56.2741,35.8143,573.455,290.989,290.968,573.455,0.891016
"Jan 3, 06:00 pm",126.597,0.44364,56.1637,35.8014,573.19,291.029,291.005,573.19,0.890763
"Jan 3, 07:00 pm",121.328,0.444311,53.9073,34.4346,572.071,290.559,290,0,0
"Jan 3, 08:00 pm",121.315,0.43913,53.2729,33.946,571.996,291.047,290,0,0
"Jan 3, 09:00 pm",121.359,0.440277,53.4318,33.8959,571.912,290.949,290,0,0
"Jan 3, 10:00 pm",121.359,0.441681,53.602,33.8205,571.817,290.824,290,0,0
"Jan 3, 11:00 pm",121.359,0.442717,53.7278,33.7649,571.709,290.734,290,0,0
"Jan 4, 12:00 am",121.359,0.435253,52.8219,33.4041,571.582,291.442,290,0,0
"Jan 4, 01:00 am",121.359,0.436302,52.9493,33.3485,571.428,291.353,290,0,0
"Jan 4, 02:00 am",121.359,0.436956,53.0285,33.3138,571.234,291.303,290,0,0
"Jan 4, 03:00 am",121.359,0.437612,53.1082,33.2789,570.972,291.26,290,0,0
"Jan 4, 04:00 am",121.359,0.438143,53.1726,33.2508,570.561,291.238,290,0,0
"Jan 4, 05:00 am",9.63931,0.161178,3.91891,2.818,572.448,284.474,290,0,0
"Jan 4, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 4, 07:00 am",0,0,0,0,574,290,290,0,0
"Jan 4, 08:00 am",80.1528,0.0699612,8.49046,5.35366,573.498,290.203,290.135,477.068,0.630787
"Jan 4, 09:00 am",61.8242,0.434691,26.8745,17.3912,568.839,283.801,290,0,0
"Jan 4, 10:00 am",11.96,0,0,0,573.887,290,290,329.955,0.126466
"Jan 4, 11:00 am",123.562,0.272984,33.1291,20.826,573.296,290.394,290.111,573.296,0.963965
"Jan 4, 12:00 pm",121.359,0.444679,53.9658,34.4241,573.251,290.451,290.079,573.251,0.959442
"Jan 4, 01:00 pm",121.359,0.444543,53.9494,34.4309,573.167,290.469,290.053,573.167,0.958191
"Jan 4, 02:00 pm",121.359,0.443924,53.8742,34.464,573.188,290.526,290.049,573.188,0.954636
"Jan 4, 03:00 pm",121.359,0.443326,53.8016,34.4963,573.182,290.583,290.037,573.182,0.949983
"Jan 4, 04:00 pm",121.359,0.442666,53.7215,34.532,573.411,290.63,290.018,573.411,0.942545
"Jan 4, 05:00 pm",126.662,0.444802,56.3395,36.5181,573.229,290.924,290.226,573.229,0.923059
"Jan 4, 06:00 pm",126.485,0.440756,55.7491,35.9378,573.198,291.288,291.263,573.198,0.892511
"Jan 4, 07:00 pm",121.359,0.442777,53.735,34.5274,572.233,290.695,290,0,0
"Jan 4, 08:00 pm",121.359,0.444262,53.9152,34.4474,572.158,290.561,290,0,0
"Jan 4, 09:00 pm",121.316,0.439081,53.2676,33.9521,572.075,291.047,290,0,0
"Jan 4, 10:00 pm",121.359,0.440731,53.4868,33.8742,571.98,290.902,290,0,0
"Jan 4, 11:00 pm",121.359,0.442338,53.6818,33.7876,571.872,290.759,290,0,0
"Jan 5, 12:00 am",121.336,0.434516,52.7227,33.4387,571.745,291.499,290,0,0
"Jan 5, 01:00 am",121.359,0.435799,52.8883,33.3763,571.592,291.39,290,0,0
"Jan 5, 02:00 am",121.359,0.437126,53.0492,33.3055,571.399,291.277,290,0,0
"Jan 5, 03:00 am",121.359,0.438556,53.2227,33.2293,571.137,291.16,290,0,0
"Jan 5, 04:00 am",121.359,0.439815,53.3756,33.1621,570.728,291.069,290,0,0
"Jan 5, 05:00 am",10.5379,0.176213,4.28422,3.06745,572.37,283.953,290,0,0
"Jan 5, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 5, 07:00 am",0,0,0,0,574,290,290,0,0
"Jan 5, 08:00 am",0,0,0,0,574,290,290,0,0
"Jan 5, 09:00 am",88.4988,0.102047,12.3843,7.71038,573.514,290.092,290.076,496.616,0.701836
"Jan 5, 10:00 am",121.359,0.443344,53.8038,33.7334,573.317,290.572,290.493,573.317,0.964374
"Jan 5, 11:00 am",121.359,0.441965,53.6364,33.8073,573.29,290.703,290.616,573.29,0.963503
"Jan 5, 12:00 pm",121.457,0.441254,53.5932,33.8694,572.998,290.798,290.673,573.265,0.895459
"Jan 5, 01:00 pm",121.378,0.440932,53.5194,33.8661,573.037,290.818,290.704,573.218,0.896506
"Jan 5, 02:00 pm",121.441,0.440394,53.4817,33.9103,572.899,290.883,290.748,573.424,0.874556
"Jan 5, 03:00 pm",121.473,0.439953,53.4426,33.9427,572.375,290.961,290.781,573.391,0.827521
"Jan 5, 04:00 pm",121.369,0.439077,53.2903,33.9635,570.897,291.128,290,0,0
"Jan 5, 05:00 pm",121.332,0.442591,53.7005,34.5291,570.626,290.816,290,0,0
