"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 1, 12:00 am",121.359,0.219009,26.5787,16.6285,573.913,290.521,290,0,0
"Jan 1, 01:00 am",121.359,0.438969,53.2728,33.2063,573.595,290.966,290,0,0
"Jan 1, 02:00 am",101.315,0.428018,43.3648,27.8274,573.127,290.093,290,0,0
"Jan 1, 03:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 07:00 am",55.094,0,0,0,573.632,290,290,418.561,0.423745
"Jan 1, 08:00 am",121.359,0.417672,50.6882,31.7366,573.313,291.042,290.489,573.313,0.959618
"Jan 1, 09:00 am",121.315,0.435229,52.8,33.3951,573.388,291.328,290.472,573.388,0.965945
"Jan 1, 10:00 am",121.359,0.444954,53.9992,33.6458,573.358,290.418,290.028,573.358,0.96723
"Jan 1, 11:00 am",121.359,0.44355,53.8288,33.7208,573.33,290.552,290.038,573.33,0.966365
"Jan 1, 12:00 pm",121.359,0.442132,53.6567,33.7967,573.319,290.686,290.038,573.319,0.965536
"Jan 1, 01:00 pm",121.359,0.441427,53.5712,33.8344,573.268,290.755,289.993,573.268,0.964563
"Jan 1, 02:00 pm",126.467,0.438838,55.4986,35.2749,573.327,291.458,290.443,573.327,0.949959
"Jan 1, 03:00 pm",126.516,0.43841,55.466,35.3113,573.471,291.494,291.469,573.471,0.907924
"Jan 1, 04:00 pm",126.782,0.445094,56.43,35.7666,573.462,290.893,290.838,573.462,0.901785
"Jan 1, 05:00 pm",126.761,0.444515,56.3471,35.794,573.467,290.945,290.893,573.467,0.894159
"Jan 1, 06:00 pm",126.655,0.444684,56.3216,35.7575,573.225,290.935,290.876,573.225,0.898047
"Jan 1, 07:00 pm",121.36,0.439555,53.3443,33.9349,572.156,291.001,290,0,0
"Jan 1, 08:00 pm",121.359,0.440854,53.5017,33.865,572.081,290.884,290,0,0
"Jan 1, 09:00 pm",121.359,0.442252,53.6713,33.7894,571.997,290.759,290,0,0
"Jan 1, 10:00 pm",121.359,0.443572,53.8315,33.7179,571.902,290.642,290,0,0
"Jan 1, 11:00 pm",121.359,0.444547,53.9498,33.6656,571.794,290.558,290,0,0
"Jan 2, 12:00 am",121.359,0.437642,53.1118,33.2753,571.666,291.212,290,0,0
"Jan 2, 01:00 am",121.359,0.437843,53.1362,33.2647,571.512,291.203,290,0,0
