"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 1, 12:00 am",174.757,0.21901,38.2735,23.9449,573.922,290.52,290,0,0
"Jan 1, 01:00 am",174.757,0.438975,76.7139,47.8166,573.639,290.962,290,0,0
"Jan 1, 02:00 am",145.982,0.427995,62.4796,40.0958,573.222,290.096,290,0,0
"Jan 1, 03:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 07:00 am",79.0507,0,0,0,573.746,290,290,418.212,0.421438
"Jan 1, 08:00 am",174.757,0.416951,72.8651,45.6232,573.257,291.044,290.5,573.257,0.95862
"Jan 1, 09:00 am",174.698,0.435222,76.0324,48.0903,573.348,291.332,290.49,573.348,0.965291
"Jan 1, 10:00 am",174.757,0.44495,77.7581,48.4503,573.325,290.421,290.052,573.325,0.966458
"Jan 1, 11:00 am",174.757,0.443546,77.5128,48.5583,573.305,290.554,290.066,573.305,0.966193
"Jan 1, 12:00 pm",174.757,0.442129,77.2651,48.6674,573.298,290.687,290.071,573.298,0.965558
"Jan 1, 01:00 pm",174.757,0.441425,77.1422,48.7216,573.254,290.756,290.032,573.254,0.964805
"Jan 1, 02:00 pm",182.084,0.438838,79.9054,50.7885,573.284,291.459,290.758,573.284,0.948811
"Jan 1, 03:00 pm",182.17,0.43841,79.865,50.8448,573.45,291.495,291.469,573.45,0.908501
"Jan 1, 04:00 pm",182.552,0.445093,81.2525,51.5002,573.44,290.893,290.838,573.44,0.902589
"Jan 1, 05:00 pm",182.518,0.444514,81.132,51.539,573.441,290.945,290.893,573.441,0.895085
"Jan 1, 06:00 pm",182.354,0.444682,81.0895,51.4833,573.18,290.936,290.876,573.18,0.898787
"Jan 1, 07:00 pm",174.759,0.439569,76.8186,48.8653,572.262,290.993,290,0,0
"Jan 1, 08:00 pm",174.757,0.44087,77.0453,48.7644,572.195,290.875,290,0,0
"Jan 1, 09:00 pm",174.757,0.442269,77.2896,48.6554,572.12,290.75,290,0,0
"Jan 1, 10:00 pm",174.757,0.443591,77.5206,48.5524,572.036,290.631,290,0,0
"Jan 1, 11:00 pm",174.757,0.444567,77.6912,48.4769,571.939,290.546,290,0,0
"Jan 2, 12:00 am",174.757,0.437665,76.485,47.9147,571.825,291.2,290,0,0
"Jan 2, 01:00 am",174.757,0.437869,76.5206,47.8992,571.688,291.189,290,0,0
"Jan 2, 02:00 am",174.757,0.43827,76.5907,47.8685,571.516,291.162,290,0,0
"Jan 2, 03:00 am",174.757,0.438969,76.713,47.8149,571.282,291.111,290,0,0
"Jan 2, 04:00 am",174.757,0.43955,76.8145,47.7704,570.918,291.081,290,0,0
"Jan 2, 05:00 am",16.2164,0.188332,6.59274,4.72861,572.366,283.527,290,0,0
"Jan 2, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 2, 07:00 am",79.0418,0,0,0,573.747,290,290,418.199,0.421618
"Jan 2, 08:00 am",174.733,0.413689,72.2849,45.8629,573.262,291.348,290.796,573.262,0.958979
