"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 1, 12:00 am",87.3785,0.219007,19.1365,11.9726,573.903,290.521,290,0,0
"Jan 1, 01:00 am",87.3784,0.438962,38.3558,23.9088,573.547,290.969,290,0,0
"Jan 1, 02:00 am",72.8999,0.428043,31.2043,20.0227,573.025,290.09,290,0,0
"Jan 1, 03:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 1, 07:00 am",36.725,0,0,0,573.65,290,290,409.014,0.388795
"Jan 1, 08:00 am",87.3785,0.40293,35.2074,22.0436,573.334,291.003,290.468,573.334,0.956014
"Jan 1, 09:00 am",87.3581,0.43519,38.0173,24.0487,573.157,291.348,290.465,573.157,0.96326
"Jan 1, 10:00 am",87.3785,0.444956,38.8796,24.2249,573.372,290.417,290.003,573.372,0.964731
"Jan 1, 11:00 am",87.3785,0.443551,38.7568,24.2789,573.339,290.551,290.009,573.339,0.963857
"Jan 1, 12:00 pm",87.3785,0.442133,38.6329,24.3336,573.327,290.685,290.004,573.327,0.962995
"Jan 1, 01:00 pm",87.3786,0.441428,38.5713,24.3607,573.274,290.755,289.953,573.274,0.962053
"Jan 1, 02:00 pm",91.0736,0.438838,39.9666,25.4023,573.379,291.457,290.338,573.379,0.949024
"Jan 1, 03:00 pm",91.0921,0.43841,39.9357,25.4242,573.472,291.494,291.469,573.472,0.90176
"Jan 1, 04:00 pm",91.2847,0.445094,40.6303,25.7523,573.467,290.893,290.838,573.467,0.895333
"Jan 1, 05:00 pm",91.1643,0.444506,40.5231,25.7459,573.157,290.952,290.893,573.157,0.88742
"Jan 1, 06:00 pm",91.2007,0.444684,40.5555,25.7476,573.251,290.934,290.876,573.251,0.89145
"Jan 1, 07:00 pm",87.3785,0.439533,38.4058,24.4339,571.998,291.013,290,0,0
"Jan 1, 08:00 pm",87.3786,0.440831,38.5192,24.3837,571.914,290.897,290,0,0
"Jan 1, 09:00 pm",87.3785,0.442227,38.6412,24.3293,571.821,290.773,290,0,0
"Jan 1, 10:00 pm",87.3785,0.443546,38.7564,24.2779,571.715,290.656,290,0,0
"Jan 1, 11:00 pm",87.3785,0.444519,38.8414,24.2403,571.593,290.573,290,0,0
"Jan 2, 12:00 am",87.3785,0.437611,38.2378,23.9594,571.451,291.228,290,0,0
"Jan 2, 01:00 am",87.3785,0.43781,38.2552,23.9518,571.279,291.22,290,0,0
"Jan 2, 02:00 am",87.3785,0.438209,38.29,23.9366,571.063,291.197,290,0,0
"Jan 2, 03:00 am",87.3785,0.438906,38.351,23.9099,570.77,291.152,290,0,0
"Jan 2, 04:00 am",87.4651,0.439429,38.4348,23.9119,570.31,291.145,290,0,0
"Jan 2, 05:00 am",6.59149,0.153182,2.67969,1.92208,572.413,284.755,290,0,0
"Jan 2, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 2, 07:00 am",36.7144,0,0,0,573.651,290,290,408.981,0.38895
"Jan 2, 08:00 am",87.3673,0.399746,34.9244,22.1577,573.339,291.297,290.741,573.339,0.956446
"Jan 2, 09:00 am",87.3785,0.443642,38.7647,24.2752,573.162,290.554,290.465,573.162,0.963579
"Jan 2, 10:00 am",87.3786,0.441418,38.5704,24.3616,573.375,290.749,290.299,573.375,0.964754
"Jan 2, 11:00 am",87.3676,0.439402,38.3895,24.4367,573.341,290.939,290.327,573.341,0.963732
"Jan 2, 12:00 pm",87.3666,0.439102,38.3629,24.4477,573.334,290.968,290.28,573.334,0.963683
"Jan 2, 01:00 pm",87.3479,0.443067,38.701,24.2894,573.29,290.596,290.069,573.29,0.963676
"Jan 2, 02:00 pm",91.1933,0.442903,40.3898,25.8177,573.384,291.091,290.422,573.384,0.951855
"Jan 2, 03:00 pm",91.1184,0.44247,40.3172,25.8162,573.197,291.134,291.11,573.197,0.911447
"Jan 2, 04:00 pm",91.1153,0.442345,40.3044,25.8205,573.198,291.145,291.121,573.198,0.9058
"Jan 2, 05:00 pm",91.1096,0.441987,40.2693,25.8337,573.213,291.177,291.153,573.213,0.897651
"Jan 2, 06:00 pm",91.1349,0.442441,40.3218,25.8215,573.249,291.136,291.111,573.249,0.891203
"Jan 2, 07:00 pm",87.3786,0.444603,38.8487,24.7867,571.958,290.542,290,0,0
"Jan 2, 08:00 pm",87.3785,0.439541,38.4064,24.4332,571.874,291.02,290,0,0
"Jan 2, 09:00 pm",87.3786,0.441094,38.5422,24.373,571.781,290.881,290,0,0
"Jan 2, 10:00 pm",87.3785,0.442952,38.7045,24.3007,571.675,290.714,290,0,0
"Jan 2, 11:00 pm",87.3785,0.444257,38.8185,24.2501,571.554,290.6,290,0,0
"Jan 3, 12:00 am",87.3785,0.435515,38.0546,24.0403,571.411,291.428,290,0,0
"Jan 3, 01:00 am",87.3785,0.436978,38.1825,23.9841,571.24,291.301,290,0,0
"Jan 3, 02:00 am",87.3785,0.438293,38.2974,23.9337,571.023,291.192,290,0,0
"Jan 3, 03:00 am",87.3788,0.439998,38.4465,23.8683,570.729,291.052,290,0,0
"Jan 3, 04:00 am",87.3785,0.441859,38.609,23.7967,570.268,290.911,290,0,0
"Jan 3, 05:00 am",6.62474,0.153956,2.69321,1.92096,572.388,284.73,290,0,0
"Jan 3, 06:00 am",0,0,0,0,574,290,290,0,0
"Jan 3, 07:00 am",32.6946,0,0,0,573.782,290,290,398.866,0.35394
"Jan 3, 08:00 am",87.8763,0.384251,33.5753,21.1119,573.312,291.053,290.625,573.312,0.954836
"Jan 3, 09:00 am",87.3665,0.434536,37.9638,24.075,573.393,291.396,290.655,573.393,0.962295
"Jan 3, 10:00 am",87.3785,0.444656,38.8534,24.2355,573.358,290.446,290.377,573.358,0.963601
"Jan 3, 11:00 am",87.3785,0.443216,38.7275,24.2912,573.322,290.584,290.197,573.322,0.962648
"Jan 3, 12:00 pm",87.3785,0.441555,38.5824,24.3555,573.319,290.74,290.206,573.319,0.963113
"Jan 3, 01:00 pm",87.3786,0.441176,38.5494,24.37,573.267,290.779,290.152,573.267,0.962188
"Jan 3, 02:00 pm",91.0159,0.438766,39.9347,25.39,573.212,291.467,290.37,573.212,0.956587
"Jan 3, 03:00 pm",91.0064,0.439046,39.956,25.9246,573.159,291.443,291.424,573.159,0.904218
"Jan 3, 04:00 pm",91.2789,0.444851,40.6055,25.7601,573.471,290.915,290.861,573.471,0.89658
