NOMBRE BARRA,NIVEL TENSIÓN,AÑO,MES,DÍA,HORA,CMg USD,,CMg Promedio,33.2
C.DOMINADOR___220,220,2019,11,5,20,38,,,
C.DOMINADOR___220,220,2019,11,5,21,38.1,,,
C.DOMINADOR___220,220,2019,11,5,22,38.1,,,
C.DOMINADOR___220,220,2019,11,5,23,38.1,,,
C.DOMINADOR___220,220,2019,11,5,24,35.8,,,
C.DOMINADOR___220,220,2019,11,6,1,30.8,,,
C.DOMINADOR___220,220,2019,11,6,2,30.3,,,
C.DOMINADOR___220,220,2019,11,6,3,30.4,,,
C.DOMINADOR___220,220,2019,11,6,4,30.4,,,
C.DOMINADOR___220,220,2019,11,6,5,30.4,,,
C.DOMINADOR___220,220,2019,11,6,6,31,,,
C.DOMINADOR___220,220,2019,11,6,7,36.6,,,
C.DOMINADOR___220,220,2019,11,6,8,34.6,,,
C.DOMINADOR___220,220,2019,11,6,10,27,,,
C.DOMINADOR___220,220,2019,11,6,12,27,,,
C.DOMINADOR___220,220,2019,11,6,14,27,,,
C.DOMINADOR___220,220,2019,11,6,9,27,,,
C.DOMINADOR___220,220,2019,11,6,11,27,,,
C.DOMINADOR___220,220,2019,11,6,13,27,,,
C.DOMINADOR___220,220,2019,11,6,15,27,,,
C.DOMINADOR___220,220,2019,11,6,17,23.9,,,
C.DOMINADOR___220,220,2019,11,6,18,23.9,,,
C.DOMINADOR___220,220,2019,11,6,19,31.4,,,
C.DOMINADOR___220,220,2019,11,6,20,39.6,,,
C.DOMINADOR___220,220,2019,11,6,21,39.5,,,
C.DOMINADOR___220,220,2019,11,6,22,39.4,,,
C.DOMINADOR___220,220,2019,11,6,23,39.3,,,
C.DOMINADOR___220,220,2019,11,6,24,37.2,,,
C.DOMINADOR___220,220,2019,11,7,2,31.9,,,
C.DOMINADOR___220,220,2019,11,7,3,32,,,
C.DOMINADOR___220,220,2019,11,7,4,32,,,
C.DOMINADOR___220,220,2019,11,7,5,32,,,
C.DOMINADOR___220,220,2019,11,7,7,34.4,,,
C.DOMINADOR___220,220,2019,11,7,9,26.3,,,
C.DOMINADOR___220,220,2019,11,7,11,27.2,,,
C.DOMINADOR___220,220,2019,11,7,13,29.4,,,
C.DOMINADOR___220,220,2019,11,7,14,29.4,,,
C.DOMINADOR___220,220,2019,11,7,15,29.4,,,
C.DOMINADOR___220,220,2019,11,7,16,29.4,,,
C.DOMINADOR___220,220,2019,11,7,17,29.4,,,
C.DOMINADOR___220,220,2019,11,7,18,29.4,,,
C.DOMINADOR___220,220,2019,11,7,20,34.3,,,
C.DOMINADOR___220,220,2019,11,7,22,34.3,,,
C.DOMINADOR___220,220,2019,11,7,24,33.1,,,
C.DOMINADOR___220,220,2019,11,9,1,33.5,,,
C.DOMINADOR___220,220,2019,11,9,2,32.8,,,
C.DOMINADOR___220,220,2019,11,9,3,32.8,,,
C.DOMINADOR___220,220,2019,11,6,16,24.7,,,
C.DOMINADOR___220,220,2019,11,7,6,33.1,,,
C.DOMINADOR___220,220,2019,11,7,8,32.9,,,
C.DOMINADOR___220,220,2019,11,7,23,34.3,,,
C.DOMINADOR___220,220,2019,11,9,4,32.8,,,
C.DOMINADOR___220,220,2019,11,9,5,32.8,,,
C.DOMINADOR___220,220,2019,11,9,6,32.8,,,
C.DOMINADOR___220,220,2019,11,9,7,32.8,,,
C.DOMINADOR___220,220,2019,11,9,8,32,,,
C.DOMINADOR___220,220,2019,11,9,9,27.8,,,
C.DOMINADOR___220,220,2019,11,9,10,28.5,,,
C.DOMINADOR___220,220,2019,11,9,11,29.3,,,
C.DOMINADOR___220,220,2019,11,9,12,29.3,,,
C.DOMINADOR___220,220,2019,11,9,13,29.3,,,
C.DOMINADOR___220,220,2019,11,9,14,29.3,,,
C.DOMINADOR___220,220,2019,11,9,15,29.2,,,
C.DOMINADOR___220,220,2019,11,9,16,28,,,
C.DOMINADOR___220,220,2019,11,9,17,26.4,,,
C.DOMINADOR___220,220,2019,11,9,18,29.1,,,
C.DOMINADOR___220,220,2019,11,9,19,33.9,,,
C.DOMINADOR___220,220,2019,11,9,20,37.1,,,
C.DOMINADOR___220,220,2019,11,9,21,38.9,,,
C.DOMINADOR___220,220,2019,11,9,22,39.3,,,
C.DOMINADOR___220,220,2019,11,9,23,38.3,,,
