"Time stamp","PC input energy | (MWt)","PC efficiency: gross","PC electrical power output: gross | (MWe)","PC water consumption: makeup + cooling | (kg/s)","PC HTF inlet temperature | (C)","PC HTF outlet temperature | (C)","Rec. HTF inlet temperature | (C)","Rec. HTF outlet temperature | (C)","Rec. thermal efficiency"
"Jan 24, 07:00 am",0,0,0,0,574,290,290,0,0
"Jan 24, 08:00 am",0,0,0,0,574,290,290,0,0
"Jan 24, 09:00 am",0,0,0,0,574,290,290,290,0
"Jan 24, 10:00 am",0,0,0,0,574,290,290,290,0
"Jan 24, 11:00 am",105.52,0,0,0,573.594,290,290,438.272,0.472364
"Jan 24, 12:00 pm",186.193,0.372086,69.2816,44.6628,573.438,287.498,287.385,573.438,0.892055
"Jan 24, 01:00 pm",0,0,0,0,574,290,290,0,0
"Jan 24, 02:00 pm",0,0,0,0,574,290,290,290,0
"Jan 24, 03:00 pm",0,0,0,0,574,290,290,290,0
"Jan 24, 04:00 pm",0,0,0,0,574,290,290,290,0
"Jan 24, 05:00 pm",0,0,0,0,574,290,290,275.387,0
"Jan 24, 06:00 pm",155.537,0.0366191,9.77694,6.26359,573.656,290.045,290.039,455.103,0.536832
"Jan 24, 07:00 pm",67.2607,0.403642,27.1493,19.8608,562.757,279.309,290,0,0
"Jan 24, 08:00 pm",0,0,0,0,574,290,290,0,0
"Jan 24, 09:00 pm",0,0,0,0,574,290,290,0,0
"Jan 24, 10:00 pm",0,0,0,0,574,290,290,0,0
"Jan 24, 11:00 pm",0,0,0,0,574,290,290,0,0
"Jan 25, 12:00 am",0,0,0,0,574,290,290,0,0
"Jan 25, 01:00 am",0,0,0,0,574,290,290,0,0
"Jan 25, 02:00 am",0,0,0,0,574,290,290,0,0
"Jan 25, 03:00 am",0,0,0,0,574,290,290,0,0
"Jan 25, 04:00 am",0,0,0,0,574,290,290,0,0
"Jan 25, 05:00 am",0,0,0,0,574,290,290,0,0
"Jan 25, 06:00 am",0,0,0,0,574,290,290,0,0
